PUBLICATION DATE,FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT
20201020,2021,July,Inflows - Current,General Property Tax,8330
20201020,2021,July,Inflows - Current,Other Taxes,796
20201020,2021,July,Inflows - Current,Federal Categorical Grants,109
20201020,2021,July,Inflows - Current,State Categorical Grants,357
20201020,2021,July,Inflows - Current,Other Categorical Grants,20
20201020,2021,July,Inflows - Current,Unrestricted (Net Of Disall.),0
20201020,2021,July,Inflows - Current,Miscellaneous Revenues,692
20201020,2021,July,Inflows - Current,Inter-Fund Revenues,0
20201020,2021,July,Inflows - Prior,Taxes,2889
20201020,2021,July,Inflows - Prior,Federal Categorical Grants,202
20201020,2021,July,Inflows - Prior,State Categorical Grants,1022
20201020,2021,July,Inflows - Prior,Other Categorical Grants,2
20201020,2021,July,Inflows - Prior,Unrestricted Intgvt.  Aid,0
20201020,2021,July,Inflows - Prior,Misc. Revenue/IFA,6
20201020,2021,July,Inflows - Capital,Capital Transfers,379
20201020,2021,July,Inflows - Capital,Federal And State,23
20201020,2021,July,Inflows - Other,Senior Colleges,0
20201020,2021,July,Inflows - Other,Holding Acct. & Other Adj.,14
20201020,2021,July,Inflows - Other,Other Sources,0
20201020,2021,July,Outflows - Current,Personal Service,2170
20201020,2021,July,Outflows - Current,Other Than Personal Service,2648
20201020,2021,July,Outflows - Current,Debt Service,1249
20201020,2021,July,Outflows - Prior,Personal Service,1959
20201020,2021,July,Outflows - Prior,Other Than Personal Service,1721
20201020,2021,July,Outflows - Prior,Taxes,247
20201020,2021,July,Outflows - Prior,Disallowance Reserve,0
20201020,2021,July,Outflows - Capital,City Disbursements,503
20201020,2021,July,Outflows - Capital,Federal and State,51
20201020,2021,July,Outflows - Other,Senior Colleges,240
20201020,2021,July,Outflows - Other,Other Uses,29
20201020,2021,July,Balance,Beginning Balance,6627
20201020,2021,July,Balance,Ending Balance,10651
20201020,2021,August,Inflows - Current,General Property Tax,198
20201020,2021,August,Inflows - Current,Other Taxes,1344
20201020,2021,August,Inflows - Current,Federal Categorical Grants,367
20201020,2021,August,Inflows - Current,State Categorical Grants,46
20201020,2021,August,Inflows - Current,Other Categorical Grants,318
20201020,2021,August,Inflows - Current,Unrestricted (Net Of Disall.),0
20201020,2021,August,Inflows - Current,Miscellaneous Revenues,486
20201020,2021,August,Inflows - Current,Inter-Fund Revenues,0
20201020,2021,August,Inflows - Prior,Taxes,351
20201020,2021,August,Inflows - Prior,Federal Categorical Grants,78
20201020,2021,August,Inflows - Prior,State Categorical Grants,425
20201020,2021,August,Inflows - Prior,Other Categorical Grants,60
20201020,2021,August,Inflows - Prior,Unrestricted Intgvt.  Aid,0
20201020,2021,August,Inflows - Prior,Misc. Revenue/IFA,-15
20201020,2021,August,Inflows - Capital,Capital Transfers,270
20201020,2021,August,Inflows - Capital,Federal And State,36
20201020,2021,August,Inflows - Other,Senior Colleges,0
20201020,2021,August,Inflows - Other,Holding Acct. & Other Adj.,2
20201020,2021,August,Inflows - Other,Other Sources,375
20201020,2021,August,Outflows - Current,Personal Service,2781
20201020,2021,August,Outflows - Current,Other Than Personal Service,2654
20201020,2021,August,Outflows - Current,Debt Service,-6
20201020,2021,August,Outflows - Prior,Personal Service,1157
20201020,2021,August,Outflows - Prior,Other Than Personal Service,905
20201020,2021,August,Outflows - Prior,Taxes,292
20201020,2021,August,Outflows - Prior,Disallowance Reserve,0
20201020,2021,August,Outflows - Capital,City Disbursements,556
20201020,2021,August,Outflows - Capital,Federal and State,94
20201020,2021,August,Outflows - Other,Senior Colleges,180
20201020,2021,August,Outflows - Other,Other Uses,0
20201020,2021,August,Balance,Beginning Balance,10651
20201020,2021,August,Balance,Ending Balance,6379
20201020,2021,September,Inflows - Current,General Property Tax,1372
20201020,2021,September,Inflows - Current,Other Taxes,2840
20201020,2021,September,Inflows - Current,Federal Categorical Grants,240
20201020,2021,September,Inflows - Current,State Categorical Grants,762
20201020,2021,September,Inflows - Current,Other Categorical Grants,-172
20201020,2021,September,Inflows - Current,Unrestricted (Net Of Disall.),0
20201020,2021,September,Inflows - Current,Miscellaneous Revenues,343
20201020,2021,September,Inflows - Current,Inter-Fund Revenues,47
20201020,2021,September,Inflows - Prior,Taxes,0
20201020,2021,September,Inflows - Prior,Federal Categorical Grants,750
20201020,2021,September,Inflows - Prior,State Categorical Grants,813
20201020,2021,September,Inflows - Prior,Other Categorical Grants,413
20201020,2021,September,Inflows - Prior,Unrestricted Intgvt.  Aid,0
20201020,2021,September,Inflows - Prior,Misc. Revenue/IFA,90
20201020,2021,September,Inflows - Capital,Capital Transfers,197
20201020,2021,September,Inflows - Capital,Federal And State,41
20201020,2021,September,Inflows - Other,Senior Colleges,0
20201020,2021,September,Inflows - Other,Holding Acct. & Other Adj.,0
20201020,2021,September,Inflows - Other,Other Sources,315
20201020,2021,September,Outflows - Current,Personal Service,3641
20201020,2021,September,Outflows - Current,Other Than Personal Service,2708
20201020,2021,September,Outflows - Current,Debt Service,-9
20201020,2021,September,Outflows - Prior,Personal Service,48
20201020,2021,September,Outflows - Prior,Other Than Personal Service,2
20201020,2021,September,Outflows - Prior,Taxes,0
20201020,2021,September,Outflows - Prior,Disallowance Reserve,0
20201020,2021,September,Outflows - Capital,City Disbursements,496
20201020,2021,September,Outflows - Capital,Federal and State,82
20201020,2021,September,Outflows - Other,Senior Colleges,180
20201020,2021,September,Outflows - Other,Other Uses,0
20201020,2021,September,Balance,Beginning Balance,6379
20201020,2021,September,Balance,Ending Balance,7282
20201020,2021,October,Inflows - Current,General Property Tax,885
20201020,2021,October,Inflows - Current,Other Taxes,1790
20201020,2021,October,Inflows - Current,Federal Categorical Grants,403
20201020,2021,October,Inflows - Current,State Categorical Grants,303
20201020,2021,October,Inflows - Current,Other Categorical Grants,111
20201020,2021,October,Inflows - Current,Unrestricted (Net Of Disall.),0
20201020,2021,October,Inflows - Current,Miscellaneous Revenues,522
20201020,2021,October,Inflows - Current,Inter-Fund Revenues,43
