FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT
2011,January,Inflows,Theory TV.,6415.3
2011,February,Inflows,Recently oil member.,72982.82
2011,March,Inflows,Than see.,82287.59
2011,April,Inflows,Pretty seat.,94093.48
2011,May,Inflows,Take ago.,87021.73
2011,June,Inflows,For woman.,47556.72
2011,July,Inflows,Skill exist.,72568.51
2011,August,Outflows,Technology do election.,68440.26
2011,September,Outflows,Few Mr budget.,67053.58
2011,October,Outflows,Return beautiful.,16275.4
2011,November,Inflows,Mean.,56479.54
2011,December,Outflows,Four.,57748.56
2012,January,Outflows,Develop term research.,13335.92
2012,February,Inflows,Common.,26288.68
2012,March,Outflows,Quickly.,57627.55
2012,April,Outflows,Three.,57493.86
2012,May,Outflows,Through itself general.,57926.92
2012,June,Outflows,Various fire.,84051.98
2012,July,Outflows,Data look capital.,18723.52
2012,August,Inflows,Story save.,45145.9
2012,September,Outflows,Again.,27983.83
2012,October,Outflows,Half close guy.,30782.53
2012,November,Outflows,Again clear.,13704.85
2012,December,Inflows,Than issue situation.,86030.75
2013,January,Outflows,Animal month.,61701.73
2013,February,Inflows,Federal before.,1624.19
2013,March,Inflows,Technology best.,68620.9
2013,April,Outflows,Future almost which.,86745.37
2013,May,Inflows,Win piece.,85861.46
2013,June,Inflows,Commercial.,34702.34
2013,July,Outflows,Structure cut.,89202.3
2013,August,Outflows,Deal beat letter.,35200.78
2013,September,Outflows,Maintain.,89852.87
2013,October,Outflows,Authority medical.,69107.19
2013,November,Inflows,East special.,94952.31
2013,December,Outflows,Everything add imagine.,74712.69
2014,January,Inflows,Exist operation.,40046.55
2014,February,Inflows,Write court.,93229.27
2014,March,Outflows,Factor far everything.,14972.44
2014,April,Inflows,Single agent fight.,43734.73
2014,May,Inflows,Develop throughout choose time.,51530.44
2014,June,Inflows,During Mr party.,58763.99
2014,July,Inflows,Put become.,57924.39
2014,August,Outflows,Fast herself.,89562.65
2014,September,Outflows,Writer health.,94958.94
2014,October,Outflows,Shake left.,47117.12
2014,November,Inflows,Need glass.,26903.31
2014,December,Outflows,Citizen star sing.,71686.9
2015,January,Inflows,Human partner.,94444.23
2015,February,Inflows,Affect without.,28111.36
2015,March,Outflows,Why perhaps bag.,91019.9
2015,April,Outflows,About.,42091.28
2015,May,Inflows,Bad issue.,98433.15
2015,June,Outflows,Note full.,11100.59
2015,July,Outflows,Increase behind month.,23738.7
2015,August,Inflows,Policy if Republican try.,79980.98
2015,September,Inflows,Building.,11517.59
2015,October,Inflows,Drive.,60208.39
2015,November,Outflows,Kind wall.,45230.75
2015,December,Inflows,Imagine manager also space.,21943.0
2016,January,Inflows,Play area arm charge.,40785.44
2016,February,Inflows,In sort language.,76166.17
2016,March,Outflows,Air them go before.,34681.97
2016,April,Outflows,Follow even again.,51464.01
2016,May,Inflows,Ask traditional.,18501.52
2016,June,Outflows,Class remain.,6962.75
2016,July,Outflows,Baby she.,87123.44
2016,August,Outflows,Instead land PM.,87633.65
2016,September,Outflows,From ok article.,30555.95
2016,October,Outflows,Clearly simple do.,31611.98
2016,November,Outflows,Your leave interest.,39782.12
2016,December,Inflows,Color report mouth.,42874.06
2017,January,Outflows,Rate.,16558.62
2017,February,Outflows,Soon off.,6969.09
2017,March,Inflows,Concern agent control.,34315.32
2017,April,Inflows,Order money production.,58828.57
2017,May,Outflows,Production need.,46712.57
2017,June,Outflows,Building consider send.,29343.69
2017,July,Inflows,Parent of.,15011.61
2017,August,Inflows,Recognize each.,16267.64
2017,September,Inflows,Per hit have.,40505.1
2017,October,Outflows,Heart month.,4455.06
2017,November,Outflows,Benefit mouth call.,83047.4
2017,December,Inflows,Finally turn.,85311.29
2018,January,Inflows,Ask economic dark.,27088.63
2018,February,Inflows,Win administration quite establish.,24755.78
2018,March,Outflows,Decide nation enter second.,38375.97
2018,April,Inflows,His build.,91872.6
2018,May,Inflows,Worry change.,87778.99
2018,June,Outflows,Environment production.,70439.22
2018,July,Outflows,Maybe eye.,46582.19
2018,August,Outflows,Skin yet meeting.,22653.68
2018,September,Inflows,Individual computer participant.,87583.89
2018,October,Outflows,Clearly series standard.,40965.26
2018,November,Inflows,End article face.,11465.1
2018,December,Outflows,Probably else likely.,80485.45
2019,January,Outflows,Eat.,62454.9
2019,February,Inflows,Toward state.,92130.43
2019,March,Inflows,Already military church.,4302.93
2019,April,Outflows,Budget various.,78480.31
2019,May,Inflows,Strong.,13548.25
2019,June,Outflows,Bed surface ok certainly.,88256.38
2019,July,Inflows,Job heart activity.,62690.69
2019,August,Outflows,Available.,35842.95
2019,September,Inflows,Read everyone.,28828.45
2019,October,Outflows,Charge strategy leave.,77972.67
2019,November,Outflows,Well feeling.,66130.05
2019,December,Outflows,Pick.,83578.2
2020,January,Inflows,Congress car.,27532.24
2020,February,Inflows,Southern rate.,95006.83
2020,March,Outflows,Yes care.,73642.18
2020,April,Inflows,Despite health teacher.,33408.66
2020,May,Inflows,Likely great.,20507.82
2020,June,Outflows,Trouble.,5971.31
2020,July,Inflows,Possible make.,87674.86
2020,August,Inflows,Mouth community.,4938.69
2020,September,Outflows,Can sea stock.,39076.44
2020,October,Outflows,Nice although its.,279.19
2020,November,Outflows,Heart.,11651.25
2020,December,Inflows,Bed candidate store movement.,46981.5
